议员姓名,年份,所属党派,备注
Melles,1956,SPD,
Melles,1957,SPD,
Mellies,1949,SPD,
Mellies,1950,SPD,
Mellies,1951,SPD,
Mellies,1952,SPD,
Mellies,1953,SPD,
Mellies,1954,SPD,
Mellies,1955,SPD,
Mellies,1956,SPD,
Mellies,1957,SPD,
Memet Kilic,2009,Grüne/Bündnis 90,
Memet Kilic,2010,Grüne/Bündnis 90,
Memet Kilic,2011,Grüne/Bündnis 90,
Memet Kilic,2012,Grüne/Bündnis 90,
Memet Kilic,2013,Grüne/Bündnis 90,
Memmel,1958,CDU/CSU,
Memmel,1959,CDU/CSU,
Memmel,1960,CDU/CSU,
Memmel,1961,CDU/CSU,
Memmel,1962,CDU/CSU,
Memmel,1963,CDU/CSU,
Memmel,1964,CDU/CSU,
Memmel,1965,CDU/CSU,
Memmel,1966,CDU/CSU,
Memmel,1967,CDU/CSU,
Memmel,1968,CDU/CSU,
Memmel,1969,CDU/CSU,
Memmel,1970,CDU/CSU,
Memmel,1971,CDU/CSU,
Memmel,1974,CDU/CSU,
Memmel,1975,CDU/CSU,
Memmel,1976,CDU/CSU,
Mende,1950,FDP,
Mengelkamp,1961,CDU/CSU,
Mengelkamp,1963,CDU/CSU,
Mengelkamp,1965,CDU/CSU,
Mengelkamp,1966,CDU/CSU,
Mengelkamp,1967,CDU/CSU,
Menke,1956,CDU/CSU,
Mensing,1950,CDU/CSU,
Mensing,1951,CDU/CSU,
Mensing,1952,CDU/CSU,
Mensing,1953,CDU/CSU,
Mensing,1954,CDU/CSU,
Mensing,1956,CDU/CSU,
Mensing,1958,CDU/CSU,
Mensing,1959,CDU/CSU,
Mensing,1960,CDU/CSU,
Menth (Rittershausen),1972,CDU/CSU,
Menzel,1953,SPD,
Menzel,1955,SPD,
Menzel,1977,SPD,
Menzel,1978,SPD,
Menzel,1979,SPD,
Menzel,1980,SPD,
Menzel,1981,SPD,
Menzel,1982,SPD,
Menzel,1983,SPD,
Menzel,1984,SPD,
Menzel,1985,SPD,
Menzel,1986,SPD,
Menzel,1987,SPD,
Menzel,1988,SPD,
Menzel,1989,SPD,
Menzel,1990,SPD,
Merker,1978,FDP,
Merker,1979,FDP,
Merker,1980,FDP,
Merker,1981,FDP,
Merker,1982,FDP,
Merten,1951,SPD,
Merten,1952,SPD,
Merten,1953,SPD,
Merten,1954,SPD,
Merten,1955,SPD,
Merten,1956,SPD,
Merten,1957,SPD,
Merten,1958,SPD,
Merten,1959,SPD,
Merten,1960,SPD,
Merten,1961,SPD,
Merten,1962,SPD,
Merten,1963,SPD,
Merten,1964,SPD,
Merten,1965,SPD,
Merten,1966,SPD,
"Merten, Antragsteller",1953,SPD,
"Merten, Berichterstatter",1951,SPD,
"Merten, Berichterstatter",1952,SPD,
"Merten, Berichterstatter",1953,SPD,
"Merten, Berichterstatter",1954,SPD,
"Merten, Berichterstatter",1956,SPD,
"Merten, Mitberichterstatter",1953,SPD,
Mertes,1962,FDP,
Mertes,1963,FDP,
Mertes,1964,FDP,
Mertes,1965,FDP,"该年属于多个党派: FPD, FDP"
Mertes,1965,FPD,"该年属于多个党派: FPD, FDP"
Mertes,1966,FDP,
Mertes,1967,FDP,
Mertes,1968,FDP,
Mertes,1969,FDP,
Mertes,1970,FDP,
Mertes,1971,FDP,
Mertes,1972,FDP,
Mertes (Gerolstein),1978,CDU/CSU,
Mertes (Stuttgart),1973,FDP,
Mertes (Stuttgart),1974,FDP,
Mertins,1949,SPD,
Mertins,1950,SPD,
Mertins,1951,SPD,
Mertins,1952,SPD,
"Mertins, Antragsteller",1950,SPD,
"Mertins, Berichterstatter",1950,SPD,
Metin Hakverdi,2014,SPD,
Metin Hakverdi,2015,SPD,
Metin Hakverdi,2016,SPD,
Metin Hakverdi,2017,SPD,
Metin Hakverdi,2018,SPD,
Metin Hakverdi,2019,SPD,
Metin Hakverdi,2020,SPD,
Metin Hakverdi,2021,SPD,
Metter,1960,SPD,
Metter,1961,SPD,
Metz,1977,CDU/CSU,
Metz,1978,CDU/CSU,
Metz,1979,CDU/CSU,
Metz,1980,CDU/CSU,
Metz,1981,CDU/CSU,
Metz,1982,CDU/CSU,
Metz,1983,CDU/CSU,
Metz,1984,CDU/CSU,
Metz,1985,CDU/CSU,
Metz,1986,CDU/CSU,
Metzger,1954,SPD,
Metzger,1955,SPD,
Metzger,1956,SPD,
Metzger,1957,SPD,
Metzger,1958,SPD,
Metzger,1959,SPD,
Metzger,1960,SPD,
Metzger,1961,SPD,
Metzger,1962,SPD,
Metzger,1963,SPD,
Metzger,1964,SPD,
Metzger,1965,SPD,
Metzger,1966,SPD,
Metzger,1967,SPD,
Metzger,1968,SPD,
Metzger,1969,SPD,
Metzger,1970,SPD,
Metzger,1971,SPD,
Metzger,1972,SPD,
Metzger,1973,SPD,
Metzger,1974,SDP,"该年属于多个党派: SPD, SDP"
Metzger,1974,SPD,"该年属于多个党派: SPD, SDP"
Metzger,1975,SPD,
Metzger,1976,SPD,
Meyer,1987,SPD,
Meyer (Bremen),1950,SPD,
Meyer (Bremen),1951,SPD,
Meyer (Bremen),1952,SPD,
Meyer (Bremen),1953,SPD,
"Meyer (Bremen), Antragsteller",1950,SPD,
"Meyer (Bremen), Antragsteller",1951,SPD,
"Meyer (Bremen), Antragsteller",1952,SPD,
"Meyer (Bremen), Berichterstatter",1950,SPD,
"Meyer (Bremen), Berichterstatter",1951,SPD,
"Meyer (Bremen), Interpellant",1950,SPD,
Meyer (Hagen),1951,SPD,
Meyer (Hagen),1952,SPD,
"Meyer (Hagen), Anfragender",1953,SPD,
"Meyer (Hagen), Antragsteller",1951,SPD,
"Meyer (Hagen), Antragsteller",1953,SPD,
"Meyer (Hagen), Berichterstatter",1952,SPD,
Meyer (Wanne-Eickel),1954,SPD,
Meyer (Wanne-Eickel),1955,SPD,
Meyer (Wanne-Eickel),1956,SPD,
Meyer (Wanne-Eickel),1957,SPD,
Meyer (Wanne-Eickel),1958,SPD,
Meyer (Wanne-Eickel),1959,SPD,
Meyer (Wanne-Eickel),1960,SPD,
Meyer (Wanne-Eickel),1961,SPD,
Meyer (Wanne-Eickel),1962,SPD,
Meyer (Wanne-Eickel),1963,SPD,
Meyer (Wanne-Eickel),1964,SPD,
"Meyer (Wanne-Eickel), Antragsteller",1956,SPD,
"Meyer (Wanne-Eickel), Berichterstatter",1954,SPD,
"Meyer (Wanne-Eickel), Berichterstatter",1955,SPD,
Meyer (Westfalen),1950,SPD,
Meyer-Ronnenberg,1956,CDU/CSU,
Meyer-Ronnenberg,1957,CDU/CSU,
Mi1z,1974,CDU/CSU,
Michael Brand,2006,CDU/CSU,
Michael Brand,2007,CDU/CSU,
Michael Brand,2008,CDU/CSU,
Michael Brand,2009,CDU/CSU,
Michael Brand,2010,CDU/CSU,
Michael Brand,2011,CDU/CSU,
Michael Brand,2012,CDU/CSU,
Michael Brand,2013,CDU/CSU,
Michael Brand,2014,CDU/CSU,
Michael Brand,2015,CDU/CSU,
Michael Brand,2016,CDU/CSU,
Michael Brand,2017,CDU/CSU,
Michael Brand,2018,CDU/CSU,
Michael Brand,2019,CDU/CSU,
Michael Brand (Fulda),2019,CDU/CSU,
Michael Brand (Fulda),2020,CDU/CSU,
Michael Brand (Fulda),2021,CDU/CSU,
Michael Bürsch,2004,SPD,
Michael Donth,2014,CDU/CSU,
Michael Donth,2015,CDU/CSU,
Michael Donth,2016,CDU/CSU,
Michael Donth,2017,CDU/CSU,
Michael Donth,2018,CDU/CSU,
Michael Donth,2019,CDU/CSU,
Michael Donth,2020,CDU/CSU,
Michael Donth,2021,CDU/CSU,
Michael Frieser,2009,CDU/CSU,
Michael Frieser,2010,CDU/CSU,
Michael Frieser,2011,CDU/CSU,
Michael Frieser,2012,CDU/CSU,
Michael Frieser,2013,CDU/CSU,
Michael Frieser,2014,CDU/CSU,
Michael Frieser,2015,CDU/CSU,
Michael Frieser,2016,CDU/CSU,
Michael Frieser,2017,CDU/CSU,
Michael Frieser,2018,CDU/CSU,
Michael Frieser,2019,CDU/CSU,
Michael Frieser,2020,CDU/CSU,
Michael Frieser,2021,CDU/CSU,
Michael Georg Link,2017,FDP,
Michael Georg Link,2018,FDP,
Michael Georg Link,2019,FDP,
Michael Georg Link (Heilbronn),2019,FDP,
Michael Georg Link (Heilbronn),2020,FDP,
Michael Gerdes,2009,SPD,
Michael Gerdes,2010,SPD,
Michael Gerdes,2011,SPD,
Michael Gerdes,2012,SPD,
Michael Gerdes,2013,SPD,
Michael Gerdes,2014,SPD,
Michael Gerdes,2015,SPD,
Michael Gerdes,2016,SPD,
Michael Gerdes,2017,SPD,
Michael Gerdes,2018,SPD,
Michael Gerdes,2019,SPD,
Michael Gerdes,2020,SPD,
Michael Gerdes,2021,SPD,
Michael Glos,1991,CDU/CSU,
Michael Glos,1992,CDU/CSU,
Michael Glos,1993,CDU/CSU,
Michael Glos,1994,CDU/CSU,
Michael Glos,1995,CDU/CSU,
Michael Glos,1996,CDU/CSU,
Michael Glos,1997,CDU/CSU,
Michael Glos,1998,CDU/CSU,
Michael Glos,1999,CDU/CSU,
Michael Glos,2000,CDU/CSU,
Michael Glos,2001,CDU/CSU,
Michael Glos,2002,CDU/CSU,
Michael Glos,2003,CDU/CSU,
Michael Glos,2004,CDU/CSU,
Michael Glos,2005,CDU/CSU,
Michael Glos,2007,CDU/CSU,
Michael Glos,2010,CDU/CSU,
Michael Glos,2011,CDU/CSU,
Michael Groschek,2009,SPD,
Michael Groschek,2010,SPD,
Michael Groschek,2011,SPD,
Michael Groschek,2012,SPD,
Michael Grosse-Br?mer,2003,CDU/CSU,
Michael Grosse-Br?mer,2004,CDU/CSU,
Michael Grosse-Br?mer,2005,CDU/CSU,
Michael Grosse-Br?mer,2006,CDU/CSU,
Michael Grosse-Br?mer,2007,CDU/CSU,
Michael Grosse-Br?mer,2008,CDU/CSU,
Michael Grosse-Br?mer,2009,CDU/CSU,
Michael Grosse-Br?mer,2010,CDU/CSU,
Michael Grosse-Br?mer,2012,CDU/CSU,
Michael Grosse-Br?mer,2013,CDU/CSU,
Michael Grosse-Br?mer,2014,CDU/CSU,
Michael Grosse-Br?mer,2015,CDU/CSU,
Michael Grosse-Br?mer,2016,CDU/CSU,
Michael Grosse-Br?mer,2017,CDU/CSU,
Michael Grosse-Br?mer,2018,CDU/CSU,
Michael Grosse-Br?mer,2019,CDU/CSU,
Michael Grosse-Br?mer,2020,CDU/CSU,
Michael Grosse-Br?mer,2021,CDU/CSU,
Michael Gro?,2010,SPD,
Michael Gro?,2011,SPD,
Michael Gro?,2012,SPD,
Michael Gro?,2013,SPD,
Michael Gro?,2014,SPD,
Michael Gro?,2015,SPD,
Michael Gro?,2016,SPD,
Michael Gro?,2017,SPD,
Michael Gro?,2018,SPD,
Michael Gro?,2019,SPD,
Michael Gro?,2020,SPD,
Michael Gro?,2021,SPD,
Michael Habermann,1991,SPD,
Michael Habermann,1992,SPD,
Michael Habermann,1993,SPD,
Michael Habermann,1994,SPD,
Michael Hartmann (Wackenheim),2008,SPD,
Michael Hartmann (Wackernheim),2004,SPD,
Michael Hartmann (Wackernheim),2005,SPD,
Michael Hartmann (Wackernheim),2006,SPD,
Michael Hartmann (Wackernheim),2007,SPD,
Michael Hartmann (Wackernheim),2008,SPD,
Michael Hartmann (Wackernheim),2009,SPD,
Michael Hartmann (Wackernheim),2010,SPD,
Michael Hartmann (Wackernheim),2011,SPD,
Michael Hartmann (Wackernheim),2012,SPD,
Michael Hartmann (Wackernheim),2013,SPD,
Michael Hartmann (Wackernheim),2014,SPD,
Michael Hennrich,2003,CDU/CSU,
Michael Hennrich,2004,CDU/CSU,
Michael Hennrich,2005,CDU/CSU,
Michael Hennrich,2006,CDU/CSU,
Michael Hennrich,2007,CDU/CSU,
Michael Hennrich,2008,CDU/CSU,
Michael Hennrich,2009,CDU/CSU,
Michael Hennrich,2010,CDU/CSU,
Michael Hennrich,2012,CDU/CSU,
Michael Hennrich,2013,CDU/CSU,
Michael Hennrich,2014,CDU/CSU,
Michael Hennrich,2015,CDU/CSU,
Michael Hennrich,2016,CDU/CSU,
Michael Hennrich,2017,CDU/CSU,
Michael Hennrich,2018,CDU/CSU,
Michael Hennrich,2019,CDU/CSU,
Michael Hennrich,2020,CDU/CSU,
Michael Hennrich,2021,CDU/CSU,
Michael Jung,1994,CDU/CSU,
Michael Jung (Limburg),1993,CDU/CSU,
Michael Jung (Limburg),1994,CDU/CSU,
Michael Jung (Limburg),1995,CDU/CSU,
Michael Jung (Limburg),1997,CDU/CSU,
Michael Kauch,2003,FDP,
Michael Kauch,2004,FDP,
Michael Kauch,2005,FDP,
Michael Kauch,2006,FDP,
Michael Kauch,2007,FDP,
Michael Kauch,2008,FDP,
Michael Kauch,2009,FDP,
Michael Kauch,2010,FDP,
Michael Kauch,2011,FDP,
Michael Kauch,2012,FDP,
Michael Kauch,2013,FDP,
Michael Kie?ling,2018,CDU/CSU,
Michael Kie?ling,2019,CDU/CSU,
Michael Kie?ling,2020,CDU/CSU,
Michael Kie?ling,2021,CDU/CSU,
Michael Kretschmer,2003,CDU/CSU,
Michael Kretschmer,2004,CDU/CSU,
Michael Kretschmer,2005,CDU/CSU,
Michael Kretschmer,2006,CDU/CSU,
Michael Kretschmer,2007,CDU/CSU,
Michael Kretschmer,2008,CDU/CSU,
Michael Kretschmer,2009,CDU/CSU,
Michael Kretschmer,2010,CDU/CSU,
Michael Kretschmer,2011,CDU/CSU,
Michael Kretschmer,2012,CDU/CSU,
Michael Kretschmer,2013,CDU/CSU,
Michael Kretschmer,2014,CDU/CSU,
Michael Kretschmer,2015,CDU/CSU,
Michael Kretschmer,2016,CDU/CSU,
Michael Kretschmer,2017,CDU/CSU,
Michael Kuffer,2018,CDU/CSU,
Michael Kuffer,2019,CDU/CSU,
Michael Kuffer,2020,CDU/CSU,
Michael Kuffer,2021,CDU/CSU,
Michael Leutert,2005,DIE LINKE,
Michael Leutert,2006,DIE LINKE,
Michael Leutert,2007,DIE LINKE,
Michael Leutert,2008,DIE LINKE,
Michael Leutert,2009,DIE LINKE,
Michael Leutert,2010,DIE LINKE,
Michael Leutert,2011,DIE LINKE,
Michael Leutert,2012,DIE LINKE,
Michael Leutert,2014,DIE LINKE,
Michael Leutert,2015,DIE LINKE,
Michael Leutert,2016,DIE LINKE,
Michael Leutert,2018,DIE LINKE,
Michael Leutert,2019,DIE LINKE,
Michael Leutert,2020,DIE LINKE,
Michael Link,2005,FDP,
Michael Link (Heilbronn),2006,FDP,
Michael Link (Heilbronn),2007,FDP,
Michael Link (Heilbronn),2008,FDP,
Michael Link (Heilbronn),2009,FDP,
Michael Link (Heilbronn),2010,FDP,
Michael Link (Heilbronn),2011,FDP,
Michael Müller (Düsseldorf),1991,SPD,
Michael Müller (Düsseldorf),1992,SPD,
Michael Müller (Düsseldorf),1993,SPD,
Michael Müller (Düsseldorf),1994,SPD,
Michael Müller (Düsseldorf),1995,SPD,
Michael Müller (Düsseldorf),1996,SPD,
Michael Müller (Düsseldorf),1997,SPD,
Michael Müller (Düsseldorf),1998,SPD,
Michael Müller (Düsseldorf),1999,SPD,
Michael Müller (Düsseldorf),2000,SPD,
Michael Müller (Düsseldorf),2001,SPD,
Michael Müller (Düsseldorf),2002,SPD,
Michael Müller (Düsseldorf),2003,SPD,
Michael Müller (Düsseldorf),2004,SPD,
Michael Müller (Düsseldorf),2005,SPD,
Michael Müller (Düsseldorf),2008,SPD,
Michael Roth,2019,SPD,
Michael Roth (Heringen),1999,SPD,
Michael Roth (Heringen),2000,SPD,
Michael Roth (Heringen),2001,SPD,
Michael Roth (Heringen),2002,SPD,
Michael Roth (Heringen),2003,SPD,
Michael Roth (Heringen),2004,SPD,
Michael Roth (Heringen),2005,SPD,
Michael Roth (Heringen),2006,SPD,
Michael Roth (Heringen),2007,SPD,
Michael Roth (Heringen),2008,SPD,
Michael Roth (Heringen),2009,SPD,
Michael Roth (Heringen),2010,SPD,
Michael Roth (Heringen),2011,SPD,
Michael Roth (Heringen),2012,SPD,
Michael Roth (Heringen),2013,SPD,
Michael Roth (Heringen),2014,SPD,
Michael Roth (Heringen),2015,SPD,
Michael Roth (Heringen),2020,SPD,
Michael Schrodi,2018,SPD,
Michael Schrodi,2019,SPD,
Michael Schrodi,2020,SPD,
Michael Schrodi,2021,SPD,
Michael Stübgen,1991,CDU/CSU,
Michael Stübgen,1992,CDU/CSU,
Michael Stübgen,1993,CDU/CSU,
Michael Stübgen,1994,CDU/CSU,
Michael Stübgen,1995,CDU/CSU,
Michael Stübgen,1996,CDU/CSU,
Michael Stübgen,1997,CDU/CSU,
Michael Stübgen,1998,CDU/CSU,
Michael Stübgen,1999,CDU/CSU,
Michael Stübgen,2000,CDU/CSU,
Michael Stübgen,2001,CDU/CSU,
Michael Stübgen,2003,CDU/CSU,
Michael Stübgen,2004,CDU/CSU,
Michael Stübgen,2005,CDU/CSU,
Michael Stübgen,2006,CDU/CSU,
Michael Stübgen,2007,CDU/CSU,
Michael Stübgen,2008,CDU/CSU,
Michael Stübgen,2009,CDU/CSU,
Michael Stübgen,2010,CDU/CSU,
Michael Stübgen,2011,CDU/CSU,
Michael Stübgen,2012,CDU/CSU,
Michael Stübgen,2013,CDU/CSU,
Michael Stübgen,2014,CDU/CSU,
Michael Stübgen,2015,CDU/CSU,
Michael Stübgen,2016,CDU/CSU,
Michael Stübgen,2017,CDU/CSU,
Michael Teiser,1995,CDU/CSU,
Michael Teiser,1996,CDU/CSU,
Michael Teiser,1997,CDU/CSU,
Michael Teiser,1998,CDU/CSU,
Michael Theurer,2017,FDP,
Michael Theurer,2018,FDP,
Michael Theurer,2019,FDP,
Michael Theurer,2020,FDP,
Michael Theurer,2021,FDP,
Michael Thews,2014,SPD,
Michael Thews,2015,SPD,
Michael Thews,2016,SPD,
Michael Thews,2017,SPD,
Michael Thews,2018,SPD,
Michael Thews,2019,SPD,
Michael Thews,2020,SPD,
Michael Thews,2021,SPD,
Michael Vietz,2014,CDU/CSU,
Michael Vietz,2015,CDU/CSU,
Michael Vietz,2016,CDU/CSU,
Michael Vietz,2017,CDU/CSU,
Michael Wonneberger,1991,CDU/CSU,
Michael Wonneberger,1992,CDU/CSU,
Michael Wonneberger,1993,CDU/CSU,
Michael Wonneberger,1995,CDU/CSU,
Michael Wonneberger,1996,CDU/CSU,
Michael Wonneberger,1997,CDU/CSU,
Michaela Engelmeier,2014,SPD,
Michaela Engelmeier,2015,SPD,
Michaela Engelmeier,2016,SPD,
Michaela Engelmeier,2017,SPD,
Michaela Engelmeier-Heite,2014,SPD,
Michaela Geiger,1991,CDU/CSU,
Michaela Geiger,1992,CDU/CSU,
Michaela Geiger,1997,CDU/CSU,
Michaela Geiger,1998,CDU/CSU,
Michaela Noll,2003,CDU/CSU,
Michaela Noll,2004,CDU/CSU,
Michaela Noll,2005,CDU/CSU,
Michaela Noll,2007,CDU/CSU,
Michaela Noll,2008,CDU/CSU,
Michaela Noll,2009,CDU/CSU,
Michaela Noll,2010,CDU/CSU,
Michaela Noll,2011,CDU/CSU,
Michaela Noll,2013,CDU/CSU,
Michaela Noll,2014,CDU/CSU,
Michaela Noll,2015,CDU/CSU,
Michaela Noll,2017,CDU/CSU,
Michaela Noll,2018,CDU/CSU,
Michaela Noll,2019,CDU/CSU,
Michaela Noll,2020,CDU/CSU,
Michaele Hustedt,1994,Grüne/Bündnis 90,
Michaele Hustedt,1995,Grüne/Bündnis 90,
Michaele Hustedt,1996,Grüne/Bündnis 90,
Michaele Hustedt,1997,Grüne/Bündnis 90,
Michaele Hustedt,1998,Grüne/Bündnis 90,
Michaele Hustedt,1999,Grüne/Bündnis 90,
Michaele Hustedt,2000,Grüne/Bündnis 90,
Michaele Hustedt,2001,Grüne/Bündnis 90,
Michaele Hustedt,2002,Grüne/Bündnis 90,
Michaele Hustedt,2003,Grüne/Bündnis 90,
Michaele Hustedt,2004,Grüne/Bündnis 90,
Michaele Hustedt,2005,Grüne/Bündnis 90,
Michel Brandt,2018,DIE LINKE,
Michel Brandt,2019,DIE LINKE,
Michel Brandt,2020,DIE LINKE,
Michel Brandt,2021,DIE LINKE,
Michelle Müntefering,2014,SPD,
Michelle Müntefering,2015,SPD,
Michelle Müntefering,2016,SPD,
Michelle Müntefering,2017,SPD,
Michelle Müntefering,2018,SPD,
Michels,1970,SPD,
Michels,1981,CDU/CSU,
Michels,1982,CDU/CSU,
Michels,1983,CDU/CSU,
Michels,1984,CDU/CSU,
Michels,1985,CDU/CSU,
Michels,1986,CDU/CSU,
Michels,1987,CDU/CSU,
Michels,1988,CDU/CSU,
Michels,1989,CDU/CSU,
Michels,1990,CDU/CSU,
Mick,1958,CDU/CSU,
Mick,1959,CDU/CSU,
Mick,1960,CDU/CSU,
Mick,1961,CDU/CSU,
Mick,1962,CDU/CSU,
Mick,1963,CDU/CSU,
Mick,1964,CDU/CSU,
Mick,1965,CDU/CSU,
Mick,1966,CDU/CSU,
Mick,1967,CDU/CSU,
Mick,1968,CDU/CSU,
Mick,1969,CDU/CSU,
Mick,1970,CDU/CSU,
Mick,1971,CDU/CSU,
Mick,1973,CDU/CSU,
Mick,1974,CDU/CSU,
Mick,1975,CDU/CSU,
Mick,1976,CDU/CSU,
Miederalt,1956,CDU/CSU,
Miller,1954,CDU/CSU,
Miller,1955,CDU/CSU,
Miller,1956,CDU/CSU,
Miller,1957,CDU/CSU,
Miller (Aachen-Land),1964,CDU/CSU,
Miller (Berlin),1973,CDU/CSU,
Miller (Frankfurt),1951,KPD,
Miller (Frankfurt),1953,KPD,
Miller (Ingolstadt),1954,CDU/CSU,
Millier (Frankfurt),1951,KPD,
Millier (Nordenham),1963,SPD,
Millier (Schweinfurt),1974,SPD,
Milller-Hermann,1960,CDU/CSU,
Miltner,1978,CDU/CSU,
Milz,1973,CDU/CSU,
Milz,1974,CDU/CSU,
Milz,1975,CDU/CSU,
Milz,1976,CDU/CSU,
Milz,1977,CDU/CSU,
Milz,1978,CDU/CSU,
Milz,1979,CDU/CSU,
Milz,1980,CDU/CSU,
Milz,1981,CDU/CSU,
Milz,1982,CDU/CSU,
Milz,1984,CDU/CSU,
Milz,1985,CDU/CSU,
Milz,1986,CDU/CSU,
Minder,1952,CDU/CSU,
Miriam Gru?,2006,FDP,
Miriam Gru?,2007,FDP,
Miriam Gru?,2008,FDP,
Miriam Gru?,2009,FDP,
Miriam Gru?,2010,FDP,
Miriam Gru?,2011,FDP,
Miriam Gru?,2012,FDP,
Miriam Gru?,2013,FDP,
MisChnick,1971,FDP,
Mischnick,1958,FDP,
Mischnick,1959,FDP,
Mischnick,1960,FDP,
Mischnick,1961,FDP,
Mischnick,1964,FDP,
Mischnick,1965,FDP,
Mischnick,1966,FDP,
Mischnick,1967,FDP,
Mischnick,1968,FDP,"该年属于多个党派: FPD, FDP"
Mischnick,1968,FPD,"该年属于多个党派: FPD, FDP"
Mischnick,1969,FDP,
Mischnick,1970,EDP,"该年属于多个党派: FDP, EDP"
Mischnick,1970,FDP,"该年属于多个党派: FDP, EDP"
Mischnick,1971,FDP,
Mischnick,1972,FDP,
Mischnick,1973,FDP,
Mischnick,1974,FDP,
Mischnick,1975,FDP,
Mischnick,1976,FDP,
Mischnick,1977,FDP,
Mischnick,1978,FDP,
Mischnick,1979,FDP,
Mischnick,1980,FDP,
Mischnick,1981,FDP,
Mischnick,1982,FDP,
Mischnick,1983,FDP,
Mischnick,1984,FDP,
Mischnick,1985,FDP,
Mischnick,1986,FDP,
Mischnick,1987,FDP,
Mischnick,1988,FDP,
Mischnick,1989,FDP,
Mischnick,1990,FDP,
Mischnick,1991,FDP,
"Mischnick, Berichterstatter",1964,FDP,
Mischnik,1961,FDP,
Mischnik,1965,FDP,
Mi?mahl,1957,SPD,
MoersCh,1967,FDP,
Moersch,1964,FDP,
Moersch,1965,FDP,"该年属于多个党派: FPD, FDP"
Moersch,1965,FPD,"该年属于多个党派: FPD, FDP"
Moersch,1966,FDP,"该年属于多个党派: MP, FDP"
Moersch,1966,MP,"该年属于多个党派: MP, FDP"
Moersch,1967,FDP,"该年属于多个党派: FPD, FDP"
Moersch,1967,FPD,"该年属于多个党派: FPD, FDP"
Moersch,1968,FDP,"该年属于多个党派: FPD, FDP"
Moersch,1968,FPD,"该年属于多个党派: FPD, FDP"
Moersch,1969,FDP,"该年属于多个党派: FPD, FDP"
Moersch,1969,FPD,"该年属于多个党派: FPD, FDP"
Moersch,1970,FDP,
Moersch,1971,FDP,
Moersch,1972,FDP,
Moersch,1973,FDP,
Moersch,1974,FDP,
Moersch,1975,FDP,
"Moll, Berichterstatter",1955,SPD,
Mollies,1950,SPD,
Mollies,1951,SPD,
Mollies,1952,SPD,
Mollies,1955,SPD,
Mollies,1957,SPD,
Monika Balt,1999,PDS,
Monika Balt,2000,PDS,
Monika Balt,2001,PDS,
Monika Balt,2002,PDS,
Monika Brudlewsky,1991,CDU/CSU,
Monika Brudlewsky,1992,CDU/CSU,
Monika Brudlewsky,1993,CDU/CSU,
Monika Brudlewsky,1994,CDU/CSU,
Monika Brudlewsky,1995,CDU/CSU,
Monika Brudlewsky,1997,CDU/CSU,
Monika Brudlewsky,1998,CDU/CSU,
Monika Brudlewsky,2000,CDU/CSU,
Monika Brudlewsky,2002,CDU/CSU,
Monika Brüning,2002,CDU/CSU,
Monika Brüning,2003,CDU/CSU,
Monika Brüning,2004,CDU/CSU,
Monika Brüning,2005,CDU/CSU,
Monika Brüning,2007,CDU/CSU,
Monika Ganseforth,1991,SPD,
Monika Ganseforth,1992,SPD,
Monika Ganseforth,1993,SPD,
Monika Ganseforth,1994,SPD,
Monika Ganseforth,1995,SPD,
Monika Ganseforth,1996,SPD,
Monika Ganseforth,1997,SPD,
Monika Ganseforth,1998,SPD,
Monika Ganseforth,1999,SPD,
Monika Ganseforth,2000,SPD,
Monika Ganseforth,2001,SPD,
Monika Ganseforth,2002,SPD,
Monika Griefahn,1998,SPD,
Monika Griefahn,1999,SPD,
Monika Griefahn,2000,SPD,
Monika Griefahn,2001,SPD,
Monika Griefahn,2002,SPD,
Monika Griefahn,2003,SPD,
Monika Griefahn,2004,SPD,
Monika Griefahn,2005,SPD,
Monika Griefahn,2006,SPD,
Monika Griefahn,2007,SPD,
Monika Griefahn,2008,SPD,
Monika Griefahn,2009,SPD,
Monika Grütters,2006,CDU/CSU,
Monika Grütters,2007,CDU/CSU,
Monika Grütters,2008,CDU/CSU,
Monika Grütters,2009,CDU/CSU,
Monika Grütters,2010,CDU/CSU,
Monika Grütters,2011,CDU/CSU,
Monika Grütters,2012,CDU/CSU,
Monika Grütters,2013,CDU/CSU,
Monika Heubaum,2000,SPD,
Monika Heubaum,2001,SPD,
Monika Heubaum,2002,SPD,
Monika Heubaum,2003,SPD,
Monika Heubaum,2004,SPD,
Monika Knoche,1994,Grüne/Bündnis 90,
Monika Knoche,1995,Grüne/Bündnis 90,
Monika Knoche,1996,Grüne/Bündnis 90,
Monika Knoche,1997,Grüne/Bündnis 90,
Monika Knoche,1998,Grüne/Bündnis 90,
Monika Knoche,1999,Grüne/Bündnis 90,
Monika Knoche,2000,Grüne/Bündnis 90,
Monika Knoche,2001,Grüne/Bündnis 90,
Monika Knoche,2002,Grüne/Bündnis 90,
Monika Knoche,2005,DIE LINKE,
Monika Knoche,2006,DIE LINKE,
Monika Knoche,2007,DIE LINKE,
Monika Knoche,2008,DIE LINKE,
Monika Knoche,2009,DIE LINKE,
Monika Lazar,2005,Grüne/Bündnis 90,
Monika Lazar,2006,Grüne/Bündnis 90,
Monika Lazar,2007,Grüne/Bündnis 90,
Monika Lazar,2008,Grüne/Bündnis 90,
Monika Lazar,2009,Grüne/Bündnis 90,
Monika Lazar,2010,Grüne/Bündnis 90,
